Vernier Format 2
mb50_ff_1.cmbl 04/03/2021 12:56:45 .
Latest
Time	Force
t	Force
s	N

97.878	-0.152587890625
97.88	-1.37329101563
97.882	-1.37329101563
97.884	-1.37329101563
97.886	-1.37329101563
97.888	-1.37329101563
97.89	-1.37329101563
97.892	-1.37329101563
97.894	-1.37329101563
97.896	-1.37329101563
97.898	-1.37329101563
97.9	-1.37329101563
97.902	-1.37329101563
97.904	-1.37329101563
97.906	-1.37329101563
97.908	-1.37329101563
97.91	-1.37329101563
97.912	-1.37329101563
97.914	-1.37329101563
97.916	-1.37329101563
97.918	-1.37329101563
97.92	-1.37329101563
97.922	-1.37329101563
97.924	-1.37329101563
97.926	-1.37329101563
97.928	-1.37329101563
97.93	-1.37329101563
97.932	-1.37329101563
97.934	-1.37329101563
97.936	-1.37329101563
97.938	-1.37329101563
97.94	-1.37329101563
97.942	-1.37329101563
97.944	-1.37329101563
97.946	-1.37329101563
97.948	-1.37329101563
97.95	-1.37329101563
97.952	-1.37329101563
97.954	-1.37329101563
97.956	-1.37329101563
97.958	-1.37329101563
97.96	-1.37329101563
97.962	-1.37329101563
97.964	-1.37329101563
97.966	-1.37329101563
97.968	-0.152587890625
97.97	-1.37329101563
97.972	-1.37329101563
97.974	-1.37329101563
97.976	-1.37329101563
97.978	-1.37329101563
97.98	-1.37329101563
97.982	-1.37329101563
97.984	-1.37329101563
97.986	-1.37329101563
97.988	-1.37329101563
97.99	-1.37329101563
97.992	-1.37329101563
97.994	-1.37329101563
97.996	-1.37329101563
97.998	-1.37329101563
98	-1.37329101563
98.002	-1.37329101563
98.004	-1.37329101563
98.006	-1.37329101563
98.008	-1.37329101563
98.01	-1.37329101563
98.012	-1.37329101563
98.014	-1.37329101563
98.016	-1.37329101563
98.018	-1.37329101563
98.02	-1.37329101563
98.022	-1.37329101563
98.024	-1.37329101563
98.026	-0.152587890625
98.028	-1.37329101563
98.03	-1.37329101563
98.032	-1.37329101563
98.034	-1.37329101563
98.036	-1.37329101563
98.038	-1.37329101563
98.04	-1.37329101563
98.042	-1.37329101563
98.044	-1.37329101563
98.046	-1.37329101563
98.048	-1.37329101563
98.05	-1.37329101563
98.052	-1.37329101563
98.054	-1.37329101563
98.056	-1.37329101563
98.058	-1.37329101563
